"Table S1: Accession, taxonomy, isocyanide synthase count, and busco counts for all of the NCBI annotated genomes analyed for this study."											
											
Accession	ICS_Count	Kingdom	Phylum	Fungal_Class	Order	Family	Genus	Species	Buscos (out of 290)	BuscoScore	
GCA_021535285.1	2	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygosaccharomyces	Zygosaccharomyces_rouxii	289	0.996551724	
GCA_022343315.1	2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Leptosphaeria	Leptosphaeria_maculans	280	0.965517241	
GCA_022343325.1	2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Leptosphaeria	Leptosphaeria_biglobosa	286	0.986206897	
GCA_022376535.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae		Xylariaceae_sp_FL0662B	283	0.975862069	
GCA_022385655.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	Xylaria_intraflava	285	0.982758621	
GCA_022432365.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon	Hypoxylon_sp_FL1284	286	0.986206897	
GCA_022432515.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon	Hypoxylon_sp_NC0597	287	0.989655172	
GCA_022432525.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Daldinia	Daldinia_grandis	288	0.993103448	
GCA_022453515.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Astrocystis	Astrocystis_sublimbata	273	0.94137931	
GCA_022478715.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Daldinia	Daldinia_decipiens	284	0.979310345	
GCA_022478725.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Daldinia	Daldinia_eschscholtzii	287	0.989655172	
GCA_022478735.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Biscogniauxia	Biscogniauxia_mediterranea	288	0.993103448	
GCA_022478745.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Biscogniauxia	Biscogniauxia_mediterranea	287	0.989655172	
GCA_022478755.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Daldinia	Daldinia_loculata	284	0.979310345	
GCA_022478815.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Daldinia	Daldinia_bambusicola	288	0.993103448	
GCA_022478825.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Daldinia	Daldinia_caldariorum	290	1	
GCA_022495085.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	Xylaria_sp_FL1042	282	0.972413793	
GCA_022495205.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon	Hypoxylon_sp_FL1150	286	0.986206897	
GCA_022496945.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Annulohypoxylon	Annulohypoxylon_maeteangense	288	0.993103448	
GCA_022496955.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Ustulina	Ustulina_deusta	284	0.979310345	
GCA_022496965.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Annulohypoxylon	Annulohypoxylon_nitens	288	0.993103448	
GCA_022497025.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon	Hypoxylon_sp_FL0890	288	0.993103448	
GCA_022497145.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Rostrohypoxylon	Rostrohypoxylon_terebratum	288	0.993103448	
GCA_022497155.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Whalleya	Whalleya_microplaca	284	0.979310345	
GCA_022544895.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Biscogniauxia	Biscogniauxia_sp_FL1348	287	0.989655172	
GCA_022578515.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Annulohypoxylon	Annulohypoxylon_truncatum	286	0.986206897	
GCA_022578575.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon	Hypoxylon_sp_FL0543	286	0.986206897	
GCA_022578595.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon	Hypoxylon_rubiginosum	289	0.996551724	
GCA_022578605.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Camillea	Camillea_tinctor	287	0.989655172	
GCA_022578615.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon	Hypoxylon_rubiginosum	289	0.996551724	
GCA_022578675.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Nemania	Nemania_serpens	288	0.993103448	
GCA_022578845.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon	Hypoxylon_cercidicola	287	0.989655172	
GCA_022578875.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon	Hypoxylon_crocopeplum	288	0.993103448	
GCA_022578945.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon	Hypoxylon_fuscum	285	0.982758621	
GCA_022578955.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon	Hypoxylon_sp_FL1857	286	0.986206897	
GCA_022578965.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	Xylaria_sp_FL1777	285	0.982758621	
GCA_022578975.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon	Hypoxylon_trugodes	290	1	
GCA_022695755.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Annulohypoxylon	Annulohypoxylon_stygium	287	0.989655172	
GCA_022695765.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Annulohypoxylon	Annulohypoxylon_moriforme	282	0.972413793	
GCA_022695795.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Biscogniauxia	Biscogniauxia_marginata	287	0.989655172	
GCA_022712995.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Eutypa	Eutypa_lata	282	0.972413793	
GCA_022813785.1	2	Fungi	Ascomycota	Lecanoromycetes	Trapeliales	Trapeliaceae	Xylographa	Xylographa_trunciseda	280	0.965517241	
GCA_022813825.1	2	Fungi	Ascomycota	Lecanoromycetes	Trapeliales	Trapeliaceae	Xylographa	Xylographa_parallela	273	0.94137931	
GCA_022813845.1	2	Fungi	Ascomycota	Lecanoromycetes	Trapeliales	Trapeliaceae	Xylographa	Xylographa_pallens	275	0.948275862	
GCA_022813885.1	2	Fungi	Ascomycota	Lecanoromycetes	Trapeliales	Trapeliaceae	Xylographa	Xylographa_carneopallida	273	0.94137931	
GCA_022814315.1	2	Fungi	Ascomycota	Lecanoromycetes	Umbilicariales	Ophioparmaceae	Hypocenomyce	Hypocenomyce_scalaris	274	0.944827586	
GCA_022814335.1	2	Fungi	Ascomycota	Lecanoromycetes	Pertusariales	Pertusariaceae	Agyrium	Agyrium_rufum	280	0.965517241	
GCA_022829195.1	2	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Wardomyces	Wardomyces_moseri	289	0.996551724	
GCA_022829205.1	2	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Wardomyces	Wardomyces_moseri	288	0.993103448	
GCA_022829225.1	2	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Wardomyces	Wardomyces_moseri	288	0.993103448	
GCA_022829765.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	281	0.968965517	
GCA_022829795.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	281	0.968965517	
GCA_022829825.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	282	0.972413793	
GCA_022829835.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	282	0.972413793	
GCA_022829885.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	282	0.972413793	
GCA_022829915.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	283	0.975862069	
GCA_022829945.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	279	0.962068966	
GCA_022829975.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	277	0.955172414	
GCA_022829995.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	282	0.972413793	
GCA_022830035.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	280	0.965517241	
GCA_022830065.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	281	0.968965517	
GCA_022830095.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	278	0.95862069	
GCA_022830125.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	279	0.962068966	
GCA_022830185.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	279	0.962068966	
GCA_022830215.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	280	0.965517241	
GCA_022830245.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	280	0.965517241	
GCA_022830275.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	279	0.962068966	
GCA_022830305.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	281	0.968965517	
GCA_022830335.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	280	0.965517241	
GCA_022830365.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	281	0.968965517	
GCA_022830395.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	281	0.968965517	
GCA_022830445.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	280	0.965517241	
GCA_022830485.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	281	0.968965517	
GCA_022830515.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	280	0.965517241	
GCA_022830545.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	281	0.968965517	
GCA_022830625.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	279	0.962068966	
GCA_022830665.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	279	0.962068966	
GCA_022830695.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	283	0.975862069	
GCA_022830725.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	281	0.968965517	
GCA_022830745.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	281	0.968965517	
GCA_022830815.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	282	0.972413793	
GCA_022830845.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	281	0.968965517	
GCA_022830865.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	283	0.975862069	
GCA_022830905.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	281	0.968965517	
GCA_022830915.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	281	0.968965517	
GCA_022830965.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	282	0.972413793	
GCA_022831025.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	281	0.968965517	
GCA_022831055.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	282	0.972413793	
GCA_022831085.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	280	0.965517241	
GCA_022831105.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	278	0.95862069	
GCA_022831145.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	281	0.968965517	
GCA_022831175.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	282	0.972413793	
GCA_022831205.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	282	0.972413793	
GCA_022831235.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	281	0.968965517	
GCA_022831265.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	281	0.968965517	
GCA_022831295.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	282	0.972413793	
GCA_022831325.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	283	0.975862069	
GCA_022831355.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	279	0.962068966	
GCA_022831385.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	280	0.965517241	
GCA_022831445.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	281	0.968965517	
GCA_022831505.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	281	0.968965517	
GCA_022831615.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	280	0.965517241	
GCA_022831685.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	283	0.975862069	
GCA_022831775.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	280	0.965517241	
GCA_022831805.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	280	0.965517241	
GCA_022831835.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	278	0.95862069	
GCA_022831865.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	282	0.972413793	
GCA_022831895.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	281	0.968965517	
GCA_022831925.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	284	0.979310345	
GCA_022831955.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	281	0.968965517	
GCA_022831985.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	283	0.975862069	
GCA_022832055.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	281	0.968965517	
GCA_022832085.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	283	0.975862069	
GCA_022832115.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	282	0.972413793	
GCA_022832145.1	2	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces_ophidiicola	279	0.962068966	
GCA_022836535.1	2	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_spaethianum	247	0.851724138	
GCA_022984845.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	Xylaria_nigripes	286	0.986206897	
GCA_022984875.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon	Hypoxylon_fragiforme	283	0.975862069	
GCA_022984935.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon	Hypoxylon_sp_NC1633	283	0.975862069	
GCA_023159155.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Ustulina	Ustulina_deusta	284	0.979310345	
GCA_023645845.1	2	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Xanthoria	Xanthoria_mediterranea	281	0.968965517	
GCA_023645885.1	2	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Caloplaca	Caloplaca_ligustica	245	0.844827586	
GCA_023645955.1	2	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Variospora	Variospora_aurantia	239	0.824137931	
GCA_023646055.1	2	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Niorma	Niorma_chrysophthalma	269	0.927586207	
GCA_023646325.1	2	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Teloschistes	Teloschistes_flavicans	260	0.896551724	
GCA_023646375.1	2	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Xanthoria	Xanthoria_aureola	270	0.931034483	
GCA_023646395.1	2	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Xanthoria	Xanthoria_sp_1_TBL2021	225	0.775862069	
GCA_023701735.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	Pestalotiopsis_sp_9143b	272	0.937931034	
GCA_024114885.1	2	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Septoria	Septoria_linicola	287	0.989655172	
GCA_024291795.1	2	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Septoria	Septoria_linicola	285	0.982758621	
GCA_024521655.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Durotheca	Durotheca_rogersii	289	0.996551724	
GCA_900096625.1	2	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_fujikuroi	289	0.996551724	
GCA_900290415.1	2	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Podospora	Podospora_comata	284	0.979310345	
GCA_902498895.1	2	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Saprochaete	Saprochaete_ingens	279	0.962068966	
GCA_902702945.1	2	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_fujikuroi	271	0.934482759	
GCA_911693285.1	2	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Hymenoscyphus	Hymenoscyphus_albidus	285	0.982758621	
GCF_000026365.1	2	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygosaccharomyces	Zygosaccharomyces_rouxii	289	0.996551724	
GCF_000150825.1	2	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium	Verticillium_alfalfae	223	0.768965517	
GCF_000226545.1	2	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Podospora	Podospora_anserina	278	0.95862069	
GCF_000265015.1	2	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Auricularia	Auricularia_subglabra	271	0.934482759	
GCF_000320565.1	2	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Sphaerulina	Sphaerulina_musiva	285	0.982758621	
GCF_000340215.1	2	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Pseudocercospora	Pseudocercospora_fijiensis	283	0.975862069	
GCF_000349385.1	2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Eutypa	Eutypa_lata	259	0.893103448	
GCF_000409485.1	2	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Glarea	Glarea_lozoyensis	285	0.982758621	
GCF_000464535.1	2	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Endocarpon	Endocarpon_pusillum	259	0.893103448	
GCF_000585535.1	2	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora_psammophila	287	0.989655172	
GCF_000687475.1	2	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Ustilaginoidea	Ustilaginoidea_virens	290	1	
GCF_001204775.2	2	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_nomiae	279	0.962068966	
GCF_001619985.1	2	Fungi	Ascomycota	Xylonomycetes	Xylonales	Xylonaceae	Xylona	Xylona_heveae	289	0.996551724	
GCF_001625195.1	2	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Drechmeria	Drechmeria_coniospora	287	0.989655172	
GCF_001636725.1	2	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordyceps	Cordyceps_fumosorosea	284	0.979310345	
GCF_001792695.1	2	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_bombycis	280	0.965517241	
GCF_001890105.1	2	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicilliopsis	Penicilliopsis_zonata	285	0.982758621	
GCF_001890725.1	2	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_wentii	286	0.986206897	
GCF_001890805.1	2	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_glaucus	286	0.986206897	
GCF_001907595.1	2	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_atroroseus	282	0.972413793	
GCF_002865645.1	2	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_bicolor	280	0.965517241	
GCF_003184585.1	2	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_saccharolyticus	285	0.982758621	
GCF_003184745.1	2	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_uvarum	281	0.968965517	
GCF_003184765.1	2	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_aculeatinus	284	0.979310345	
GCF_003184785.1	2	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_japonicus	281	0.968965517	
GCF_003184845.1	2	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_ibericus	284	0.979310345	
GCF_003327735.1	2	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida_viswanathii	101	0.348275862	
GCF_003724135.2	2	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium	Verticillium_nonalfalfae	268	0.924137931	
GCF_009176365.1	2	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_alliaceus	283	0.975862069	
GCF_009193445.1	2	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_pseudotamarii	281	0.968965517	
GCF_009193585.1	2	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_caelatus	284	0.979310345	
GCF_009193645.1	2	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_pseudonomiae	284	0.979310345	
GCF_010015565.1	2	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Dissoconiaceae	Dissoconium	Dissoconium_aciculare	282	0.972413793	
GCF_010015735.1	2	Fungi	Ascomycota	Dothideomycetes	Pleosporales		Aaosphaeria	Aaosphaeria_arxii	280	0.965517241	
GCF_010093625.1	2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Macroventuria	Macroventuria_anomochaeta	287	0.989655172	
GCF_010094035.1	2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Trematosphaeriaceae	Trematosphaeria	Trematosphaeria_pertusa	277	0.955172414	
GCF_010094085.1	2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Westerdykella	Westerdykella_ornata	282	0.972413793	
GCF_010094145.1	2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Didymella_exigua	281	0.968965517	
