TreeTip_Name	Protein	Accession	Lichen	ICS_Clade	Species	Genus	Fungal_Class
Thelonectria_olida_KAH6873803.1	KAH6873803.1	GCA_020736575.1	NotLichen	crm_split	Thelonectria_olida	Thelonectria	Sordariomycetes
Teratosphaeria_nubilosa_KAF2764179.1	KAF2764179.1	GCA_010093825.1	NotLichen	crm_split	Teratosphaeria_nubilosa	Teratosphaeria	Dothideomycetes
Teratosphaeria_destructans_KAH9843366.1	KAH9843366.1	GCA_004009835.2	NotLichen	crm_split	Teratosphaeria_destructans	Teratosphaeria	Dothideomycetes
Teloschistes_peruensis_KAI4099322.1	KAI4099322.1	GCA_023645835.1	Lichen	crm_split	Teloschistes_peruensis	Teloschistes	Lecanoromycetes
Teloschistes_flavicans_KAI4244084.1	KAI4244084.1	GCA_023646325.1	Lichen	crm_split	Teloschistes_flavicans	Teloschistes	Lecanoromycetes
Sticta_canariensis_MCJ1428823.1	MCJ1428823.1	GCA_022814045.1	Lichen	crm_split	Sticta_canariensis	Sticta	Lecanoromycetes
Sporothrix_insectorum_OAA59700.1	OAA59700.1	GCA_001636815.1	NotLichen	crm_split	Sporothrix_insectorum	Sporothrix	Sordariomycetes
Seirophora_villosa_KAI4113946.1	KAI4113946.1	GCA_023645815.1	Lichen	crm_split	Seirophora_villosa	Seirophora	Lecanoromycetes
Seirophora_lacunosa_KAI4087435.1	KAI4087435.1	GCA_023645825.1	Lichen	crm_split	Seirophora_lacunosa	Seirophora	Lecanoromycetes
Rhexocercosporidium_sp_MPIPUGEAT0058_KAH7317460.1	KAH7317460.1	GCA_020746875.1	NotLichen	crm_split	Rhexocercosporidium_sp_MPIPUGEAT0058	Rhexocercosporidium	Leotiomycetes
Pseudocercospora_eumusae_KXT02246.1	KXT02246.1	GCA_001578235.1	NotLichen	crm_split	Pseudocercospora_eumusae	Pseudocercospora	Dothideomycetes
Plenodomus_tracheiphilus_KAF2846133.1	KAF2846133.1	GCA_010093695.1	NotLichen	crm_split	Plenodomus_tracheiphilus	Plenodomus	Dothideomycetes
Physcia_stellaris_KAG6999330.1	KAG6999330.1	GCA_018902385.1	Lichen	crm_split	Physcia_stellaris	Physcia	Lecanoromycetes
Phialophora_americana_KIW62366.1	KIW62366.1	GCA_000835435.1	NotLichen	crm_split	Phialophora_americana	Phialophora	Eurotiomycetes
Penicillium_polonicum_OQD71567.1	OQD71567.1	GCA_002072265.1	NotLichen	crm_split	Penicillium_polonicum	Penicillium	Eurotiomycetes
Penicillium_polonicum_OQD71076.1	OQD71076.1	GCA_002072265.1	NotLichen	crm_split	Penicillium_polonicum	Penicillium	Eurotiomycetes
Penicillium_griseofulvum_XP_040649206.1	XP_040649206.1	GCF_001561935.1	NotLichen	crm_split	Penicillium_griseofulvum	Penicillium	Eurotiomycetes
Peltaster_fructicola_QIX01996.1	QIX01996.1	GCA_001592805.2	NotLichen	crm_split	Peltaster_fructicola	Peltaster	Dothideomycetes
Paraphaeosphaeria_sporulosa_XP_018033692.1	XP_018033692.1	GCF_001642045.1	NotLichen	crm_split	Paraphaeosphaeria_sporulosa	Paraphaeosphaeria	Dothideomycetes
Oidiodendron_maius_KIM94082.1	KIM94082.1	GCA_000827325.1	NotLichen	crm_split	Oidiodendron_maius	Oidiodendron	Leotiomycetes
Niorma_chrysophthalma_KAI4198521.1	KAI4198521.1	GCA_023646055.1	Lichen	crm_split	Niorma_chrysophthalma	Niorma	Lecanoromycetes
Nannizzia_gypsea_XP_003171295.1	XP_003171295.1	GCF_000150975.2	NotLichen	crm_split	Nannizzia_gypsea	Nannizzia	Eurotiomycetes
Myriangium_duriaei_KAF2154528.1	KAF2154528.1	GCA_010093895.1	NotLichen	crm_split	Myriangium_duriaei	Myriangium	Dothideomycetes
Monosporascus_sp_mg162_RYP43739.1	RYP43739.1	GCA_004155945.1	NotLichen	crm_split	Monosporascus_sp_mg162	Monosporascus	Sordariomycetes
Monosporascus_sp_MC138B_RYP33553.1	RYP33553.1	GCA_004154975.1	NotLichen	crm_split	Monosporascus_sp_MC138B	Monosporascus	Sordariomycetes
Monosporascus_sp_GIB2_RYP15306.1	RYP15306.1	GCA_004155935.1	NotLichen	crm_split	Monosporascus_sp_GIB2	Monosporascus	Sordariomycetes
Monosporascus_sp_CRB92_RYP71971.1	RYP71971.1	GCA_004155915.1	NotLichen	crm_split	Monosporascus_sp_CRB92	Monosporascus	Sordariomycetes
Monosporascus_sp_CRB83_RYP62964.1	RYP62964.1	GCA_004155055.1	NotLichen	crm_split	Monosporascus_sp_CRB83	Monosporascus	Sordariomycetes
Monosporascus_sp_5C6A_RYP70480.1	RYP70480.1	GCA_004155035.1	NotLichen	crm_split	Monosporascus_sp_5C6A	Monosporascus	Sordariomycetes
Monosporascus_ibericus_RYP10553.1	RYP10553.1	GCA_004154915.1	NotLichen	crm_split	Monosporascus_ibericus	Monosporascus	Sordariomycetes
Monosporascus_cannonballus_RYO82912.1	RYO82912.1	GCA_004154925.1	NotLichen	crm_split	Monosporascus_cannonballus	Monosporascus	Sordariomycetes
Moelleriella_libera_KZZ97446.1	KZZ97446.1	GCA_001636675.1	NotLichen	crm_split	Moelleriella_libera	Moelleriella	Sordariomycetes
Microdochium_trichocladiopsis_XP_046010845.1	XP_046010845.1	GCF_020744255.1	NotLichen	crm_split	Microdochium_trichocladiopsis	Microdochium	Sordariomycetes
Lophiostoma_macrostomum_KAF2648716.1	KAF2648716.1	GCA_010405375.1	NotLichen	crm_split	Lophiostoma_macrostomum	Lophiostoma	Dothideomycetes
Lindgomyces_ingoldianus_XP_033541384.1	XP_033541384.1	GCF_010093535.1	NotLichen	crm_split	Lindgomyces_ingoldianus	Lindgomyces	Dothideomycetes
Letrouitia_leprolyta_KAI4183818.1	KAI4183818.1	GCA_023646175.1	Lichen	crm_split	Letrouitia_leprolyta	Letrouitia	Lecanoromycetes
Letrouitia_leprolyta_KAI4180083.1	KAI4180083.1	GCA_023646175.1	Lichen	crm_split	Letrouitia_leprolyta	Letrouitia	Lecanoromycetes
Leptosphaeria_maculans_KAH9869828.1	KAH9869828.1	GCA_022343315.1	NotLichen	crm_split	Leptosphaeria_maculans	Leptosphaeria	Dothideomycetes
Leptosphaeria_biglobosa_KAH9861367.1	KAH9861367.1	GCA_022343325.1	NotLichen	crm_split	Leptosphaeria_biglobosa	Leptosphaeria	Dothideomycetes
Karstenula_rhodostoma_KAF2439236.1	KAF2439236.1	GCA_010093485.1	NotLichen	crm_split	Karstenula_rhodostoma	Karstenula	Dothideomycetes
Ilyonectria_sp_MPICAGEAT0026_KAH6981583.1	KAH6981583.1	GCA_020744155.1	NotLichen	crm_split	Ilyonectria_sp_MPICAGEAT0026	Ilyonectria	Sordariomycetes
Ilyonectria_sp_MPICAGEAT0026_KAH6957910.1	KAH6957910.1	GCA_020744155.1	NotLichen	crm_split	Ilyonectria_sp_MPICAGEAT0026	Ilyonectria	Sordariomycetes
Ilyonectria_destructans_KAH6999779.1	KAH6999779.1	GCA_020740775.1	NotLichen	crm_split	Ilyonectria_destructans	Ilyonectria	Sordariomycetes
Ilyonectria_destructans_KAH6987035.1	KAH6987035.1	GCA_020740775.1	NotLichen	crm_split	Ilyonectria_destructans	Ilyonectria	Sordariomycetes
Ilyonectria_destructans_KAH6982672.1	KAH6982672.1	GCA_020740775.1	NotLichen	crm_split	Ilyonectria_destructans	Ilyonectria	Sordariomycetes
Icmadophila_ericetorum_MCJ1354734.1	MCJ1354734.1	GCA_022814295.1	Lichen	crm_split	Icmadophila_ericetorum	Icmadophila	Lecanoromycetes
Hymenoscyphus_fraxineus_CAG8961937.1	CAG8961937.1	GCA_911649665.1	NotLichen	crm_split	Hymenoscyphus_fraxineus	Hymenoscyphus	Leotiomycetes
Hyaloscypha_sp_PMI_1271_KAH8748816.1	KAH8748816.1	GCA_021399465.1	NotLichen	crm_split	Hyaloscypha_sp_PMI_1271	Hyaloscypha	Leotiomycetes
Hyaloscypha_finlandica_KAH8767596.1	KAH8767596.1	GCA_021399475.1	NotLichen	crm_split	Hyaloscypha_finlandica	Hyaloscypha	Leotiomycetes
Gyalolechia_ehrenbergii_KAI4175355.1	KAI4175355.1	GCA_023646125.1	Lichen	crm_split	Gyalolechia_ehrenbergii	Gyalolechia	Lecanoromycetes
Gyalolechia_ehrenbergii_KAI4167697.1	KAI4167697.1	GCA_023646125.1	Lichen	crm_split	Gyalolechia_ehrenbergii	Gyalolechia	Lecanoromycetes
Glarea_lozoyensis_XP_008080495.1	XP_008080495.1	GCF_000409485.1	NotLichen	crm_split	Glarea_lozoyensis	Glarea	Leotiomycetes
Glarea_lozoyensis_XP_008078389.1	XP_008078389.1	GCF_000409485.1	NotLichen	crm_split	Glarea_lozoyensis	Glarea	Leotiomycetes
Fusarium_xylarioides_KAG5781079.1	KAG5781079.1	GCA_018296245.1	NotLichen	crm_split	Fusarium_xylarioides	Fusarium	Sordariomycetes
Fusarium_xylarioides_KAG5780775.1	KAG5780775.1	GCA_018296245.1	NotLichen	crm_split	Fusarium_xylarioides	Fusarium	Sordariomycetes
Fusarium_xylarioides_KAG5773905.1	KAG5773905.1	GCA_018296245.1	NotLichen	crm_split	Fusarium_xylarioides	Fusarium	Sordariomycetes
Fusarium_verticillioides_RBQ68773.1	RBQ68773.1	GCA_003316975.2	NotLichen	crm_split	Fusarium_verticillioides	Fusarium	Sordariomycetes
Fusarium_venenatum_KAH6993713.1	KAH6993713.1	GCA_020744135.1	NotLichen	crm_split	Fusarium_venenatum	Fusarium	Sordariomycetes
Fusarium_venenatum_KAH6991831.1	KAH6991831.1	GCA_020744135.1	NotLichen	crm_split	Fusarium_venenatum	Fusarium	Sordariomycetes
Fusarium_tjaetaba_XP_037206995.1	XP_037206995.1	GCF_013396195.1	NotLichen	crm_split	Fusarium_tjaetaba	Fusarium	Sordariomycetes
Fusarium_tjaetaba_XP_037203803.1	XP_037203803.1	GCF_013396195.1	NotLichen	crm_split	Fusarium_tjaetaba	Fusarium	Sordariomycetes
Fusarium_subglutinans_XP_036542832.1	XP_036542832.1	GCF_013396075.1	NotLichen	crm_split	Fusarium_subglutinans	Fusarium	Sordariomycetes
Fusarium_subglutinans_XP_036540338.1	XP_036540338.1	GCF_013396075.1	NotLichen	crm_split	Fusarium_subglutinans	Fusarium	Sordariomycetes
Fusarium_sporotrichioides_RGP74564.1	RGP74564.1	GCA_003012315.1	NotLichen	crm_split	Fusarium_sporotrichioides	Fusarium	Sordariomycetes
Fusarium_sporotrichioides_RGP67292.1	RGP67292.1	GCA_003012315.1	NotLichen	crm_split	Fusarium_sporotrichioides	Fusarium	Sordariomycetes
Fusarium_sp_NRRL_52700_KAF5635996.1	KAF5635996.1	GCA_013396095.1	NotLichen	crm_split	Fusarium_sp_NRRL_52700	Fusarium	Sordariomycetes
Fusarium_sp_NRRL_52700_KAF5624377.1	KAF5624377.1	GCA_013396095.1	NotLichen	crm_split	Fusarium_sp_NRRL_52700	Fusarium	Sordariomycetes
Fusarium_sp_NRRL_25303_KAF5655010.1	KAF5655010.1	GCA_013396255.1	NotLichen	crm_split	Fusarium_sp_NRRL_25303	Fusarium	Sordariomycetes
Fusarium_sp_NRRL_25303_KAF5651975.1	KAF5651975.1	GCA_013396255.1	NotLichen	crm_split	Fusarium_sp_NRRL_25303	Fusarium	Sordariomycetes
Fusarium_sp_NRRL_25303_KAF5644391.1	KAF5644391.1	GCA_013396255.1	NotLichen	crm_split	Fusarium_sp_NRRL_25303	Fusarium	Sordariomycetes
Fusarium_sp_MPISDFRAT0072_KAH7154172.1	KAH7154172.1	GCA_020744335.1	NotLichen	crm_split	Fusarium_sp_MPISDFRAT0072	Fusarium	Sordariomycetes
Fusarium_sp_MPISDFRAT0072_KAH7147702.1	KAH7147702.1	GCA_020744335.1	NotLichen	crm_split	Fusarium_sp_MPISDFRAT0072	Fusarium	Sordariomycetes
Fusarium_sp_FIESC_RH6_KAI1060860.1	KAI1060860.1	GCA_022627095.1	NotLichen	crm_split	Fusarium_sp_FIESC_RH6	Fusarium	Sordariomycetes
Fusarium_sp_DS_682_KAF9766432.1	KAF9766432.1	GCA_014764975.1	NotLichen	crm_split	Fusarium_sp_DS_682	Fusarium	Sordariomycetes
Fusarium_sp_AF6_RSL38658.1	RSL38658.1	GCA_003947015.1	NotLichen	crm_split	Fusarium_sp_AF6	Fusarium	Sordariomycetes
Fusarium_sp_AF4_RSL80048.1	RSL80048.1	GCA_003946995.1	NotLichen	crm_split	Fusarium_sp_AF4	Fusarium	Sordariomycetes
Fusarium_sarcochroum_KAF4945803.1	KAF4945803.1	GCA_013266185.1	NotLichen	crm_split	Fusarium_sarcochroum	Fusarium	Sordariomycetes
Fusarium_redolens_XP_046045062.1	XP_046045062.1	GCF_020744475.1	NotLichen	crm_split	Fusarium_redolens	Fusarium	Sordariomycetes
Fusarium_pseudograminearum_KAF0639056.1	KAF0639056.1	GCA_001703955.2	NotLichen	crm_split	Fusarium_pseudograminearum	Fusarium	Sordariomycetes
Fusarium_pseudograminearum_KAF0638021.1	KAF0638021.1	GCA_001703955.2	NotLichen	crm_split	Fusarium_pseudograminearum	Fusarium	Sordariomycetes
Fusarium_pseudocircinatum_KAF5598634.1	KAF5598634.1	GCA_013396035.1	NotLichen	crm_split	Fusarium_pseudocircinatum	Fusarium	Sordariomycetes
Fusarium_pseudocircinatum_KAF5597654.1	KAF5597654.1	GCA_013396035.1	NotLichen	crm_split	Fusarium_pseudocircinatum	Fusarium	Sordariomycetes
Fusarium_pseudocircinatum_KAF5597174.1	KAF5597174.1	GCA_013396035.1	NotLichen	crm_split	Fusarium_pseudocircinatum	Fusarium	Sordariomycetes
Fusarium_pseudoanthophilum_KAF5589599.1	KAF5589599.1	GCA_013395995.1	NotLichen	crm_split	Fusarium_pseudoanthophilum	Fusarium	Sordariomycetes
Fusarium_pseudoanthophilum_KAF5579085.1	KAF5579085.1	GCA_013395995.1	NotLichen	crm_split	Fusarium_pseudoanthophilum	Fusarium	Sordariomycetes
Fusarium_proliferatum_RKL44237.1	RKL44237.1	GCA_003615215.1	NotLichen	crm_split	Fusarium_proliferatum	Fusarium	Sordariomycetes
Fusarium_proliferatum_RKL38792.1	RKL38792.1	GCA_003615215.1	NotLichen	crm_split	Fusarium_proliferatum	Fusarium	Sordariomycetes
Fusarium_poae_OBS25041.1	OBS25041.1	GCA_001675295.1	NotLichen	crm_split	Fusarium_poae	Fusarium	Sordariomycetes
Fusarium_poae_OBS23239.1	OBS23239.1	GCA_001675295.1	NotLichen	crm_split	Fusarium_poae	Fusarium	Sordariomycetes
Fusarium_phyllophilum_KAF5565681.1	KAF5565681.1	GCA_013396025.1	NotLichen	crm_split	Fusarium_phyllophilum	Fusarium	Sordariomycetes
Fusarium_phyllophilum_KAF5556118.1	KAF5556118.1	GCA_013396025.1	NotLichen	crm_split	Fusarium_phyllophilum	Fusarium	Sordariomycetes
Fusarium_oxysporum_TVY68270.1	TVY68270.1	GCA_005930515.1	NotLichen	crm_split	Fusarium_oxysporum	Fusarium	Sordariomycetes
Fusarium_oxysporum_TVY60241.1	TVY60241.1	GCA_005930515.1	NotLichen	crm_split	Fusarium_oxysporum	Fusarium	Sordariomycetes
Fusarium_odoratissimum_EMT71253.1	EMT71253.1	GCA_000350365.1	NotLichen	crm_split	Fusarium_odoratissimum	Fusarium	Sordariomycetes
Fusarium_odoratissimum_EMT69002.1	EMT69002.1	GCA_000350365.1	NotLichen	crm_split	Fusarium_odoratissimum	Fusarium	Sordariomycetes
Fusarium_nygamai_PNP83832.1	PNP83832.1	GCA_002894225.1	NotLichen	crm_split	Fusarium_nygamai	Fusarium	Sordariomycetes
Fusarium_nygamai_PNP81104.1	PNP81104.1	GCA_002894225.1	NotLichen	crm_split	Fusarium_nygamai	Fusarium	Sordariomycetes
Fusarium_napiforme_KAF5565220.1	KAF5565220.1	GCA_013396005.1	NotLichen	crm_split	Fusarium_napiforme	Fusarium	Sordariomycetes
Fusarium_musae_XP_044675053.1	XP_044675053.1	GCF_019915245.1	NotLichen	crm_split	Fusarium_musae	Fusarium	Sordariomycetes
Fusarium_mundagurra_KAF5715931.1	KAF5715931.1	GCA_013396205.1	NotLichen	crm_split	Fusarium_mundagurra	Fusarium	Sordariomycetes
Fusarium_mexicanum_KAF5557415.1	KAF5557415.1	GCA_013396015.1	NotLichen	crm_split	Fusarium_mexicanum	Fusarium	Sordariomycetes
Fusarium_mexicanum_KAF5549363.1	KAF5549363.1	GCA_013396015.1	NotLichen	crm_split	Fusarium_mexicanum	Fusarium	Sordariomycetes
Fusarium_mexicanum_KAF5539464.1	KAF5539464.1	GCA_013396015.1	NotLichen	crm_split	Fusarium_mexicanum	Fusarium	Sordariomycetes
Fusarium_mangiferae_XP_041688450.1	XP_041688450.1	GCF_900044065.1	NotLichen	crm_split	Fusarium_mangiferae	Fusarium	Sordariomycetes
Fusarium_mangiferae_XP_041683487.1	XP_041683487.1	GCF_900044065.1	NotLichen	crm_split	Fusarium_mangiferae	Fusarium	Sordariomycetes
Fusarium_longipes_RGP80030.1	RGP80030.1	GCA_003012285.1	NotLichen	crm_split	Fusarium_longipes	Fusarium	Sordariomycetes
Fusarium_langsethiae_GKU06937.1	GKU06937.1	GCA_022180325.1	NotLichen	crm_split	Fusarium_langsethiae	Fusarium	Sordariomycetes
Fusarium_langsethiae_GKU06936.1	GKU06936.1	GCA_022180325.1	NotLichen	crm_split	Fusarium_langsethiae	Fusarium	Sordariomycetes
Fusarium_langsethiae_GKU06935.1	GKU06935.1	GCA_022180325.1	NotLichen	crm_split	Fusarium_langsethiae	Fusarium	Sordariomycetes
Fusarium_langsethiae_GKU06934.1	GKU06934.1	GCA_022180325.1	NotLichen	crm_split	Fusarium_langsethiae	Fusarium	Sordariomycetes
Fusarium_langsethiae_GKU05918.1	GKU05918.1	GCA_022180325.1	NotLichen	crm_split	Fusarium_langsethiae	Fusarium	Sordariomycetes
Fusarium_kuroshium_RMJ02431.1	RMJ02431.1	GCA_003698175.1	NotLichen	crm_split	Fusarium_kuroshium	Fusarium	Sordariomycetes
Fusarium_heterosporum_KAF5670104.1	KAF5670104.1	GCA_013396295.1	NotLichen	crm_split	Fusarium_heterosporum	Fusarium	Sordariomycetes
Fusarium_graminum_KAF4996655.1	KAF4996655.1	GCA_013266165.1	NotLichen	crm_split	Fusarium_graminum	Fusarium	Sordariomycetes
Fusarium_graminearum_CEF78593.1	CEF78593.1	GCA_900044135.1	NotLichen	crm_split	Fusarium_graminearum	Fusarium	Sordariomycetes
Fusarium_graminearum_CEF76457.1	CEF76457.1	GCA_900044135.1	NotLichen	crm_split	Fusarium_graminearum	Fusarium	Sordariomycetes
Fusarium_globosum_KAF5716866.1	KAF5716866.1	GCA_013396165.1	NotLichen	crm_split	Fusarium_globosum	Fusarium	Sordariomycetes
Fusarium_globosum_KAF5707539.1	KAF5707539.1	GCA_013396165.1	NotLichen	crm_split	Fusarium_globosum	Fusarium	Sordariomycetes
Fusarium_gaditjirri_KAF4961576.1	KAF4961576.1	GCA_013266175.1	NotLichen	crm_split	Fusarium_gaditjirri	Fusarium	Sordariomycetes
Fusarium_gaditjirri_KAF4961245.1	KAF4961245.1	GCA_013266175.1	NotLichen	crm_split	Fusarium_gaditjirri	Fusarium	Sordariomycetes
Fusarium_fujikuroi_QGI70962.1	QGI70962.1	GCA_009663055.1	NotLichen	crm_split	Fusarium_fujikuroi	Fusarium	Sordariomycetes
Fusarium_fujikuroi_QGI70076.1	QGI70076.1	GCA_009663055.1	NotLichen	crm_split	Fusarium_fujikuroi	Fusarium	Sordariomycetes
Fusarium_floridanum_RSL42173.1	RSL42173.1	GCA_003947005.1	NotLichen	crm_split	Fusarium_floridanum	Fusarium	Sordariomycetes
Fusarium_flagelliforme_RFN52729.1	RFN52729.1	GCA_003012295.1	NotLichen	crm_split	Fusarium_flagelliforme	Fusarium	Sordariomycetes
Fusarium_euwallaceae_RTE69455.1	RTE69455.1	GCA_003957675.1	NotLichen	crm_split	Fusarium_euwallaceae	Fusarium	Sordariomycetes
Fusarium_equiseti_CAG7559789.1	CAG7559789.1	GCA_910393935.1	NotLichen	crm_split	Fusarium_equiseti	Fusarium	Sordariomycetes
Fusarium_denticulatum_KAF5695109.1	KAF5695109.1	GCA_013396175.1	NotLichen	crm_split	Fusarium_denticulatum	Fusarium	Sordariomycetes
Fusarium_denticulatum_KAF5687171.1	KAF5687171.1	GCA_013396175.1	NotLichen	crm_split	Fusarium_denticulatum	Fusarium	Sordariomycetes
Fusarium_denticulatum_KAF5685303.1	KAF5685303.1	GCA_013396175.1	NotLichen	crm_split	Fusarium_denticulatum	Fusarium	Sordariomycetes
Fusarium_decemcellulare_KAF5013928.1	KAF5013928.1	GCA_013266205.1	NotLichen	crm_split	Fusarium_decemcellulare	Fusarium	Sordariomycetes
Fusarium_decemcellulare_KAF4996083.1	KAF4996083.1	GCA_013266205.1	NotLichen	crm_split	Fusarium_decemcellulare	Fusarium	Sordariomycetes
Fusarium_decemcellulare_KAF4986365.1	KAF4986365.1	GCA_013266205.1	NotLichen	crm_split	Fusarium_decemcellulare	Fusarium	Sordariomycetes
Fusarium_culmorum_PTD07808.1	PTD07808.1	GCA_003033665.1	NotLichen	crm_split	Fusarium_culmorum	Fusarium	Sordariomycetes
Fusarium_culmorum_PTD02183.1	PTD02183.1	GCA_003033665.1	NotLichen	crm_split	Fusarium_culmorum	Fusarium	Sordariomycetes
Fusarium_coicis_KAF5981078.1	KAF5981078.1	GCA_013781345.1	NotLichen	crm_split	Fusarium_coicis	Fusarium	Sordariomycetes
Fusarium_coffeatum_XP_031016707.1	XP_031016707.1	GCF_003316985.1	NotLichen	crm_split	Fusarium_coffeatum	Fusarium	Sordariomycetes
Fusarium_circinatum_KAF5691721.1	KAF5691721.1	GCA_013396185.1	NotLichen	crm_split	Fusarium_circinatum	Fusarium	Sordariomycetes
Fusarium_circinatum_KAF5686003.1	KAF5686003.1	GCA_013396185.1	NotLichen	crm_split	Fusarium_circinatum	Fusarium	Sordariomycetes
Fusarium_circinatum_KAF5663859.1	KAF5663859.1	GCA_013396185.1	NotLichen	crm_split	Fusarium_circinatum	Fusarium	Sordariomycetes
Fusarium_chuoi_KAI1021067.1	KAI1021067.1	GCA_022627125.1	NotLichen	crm_split	Fusarium_chuoi	Fusarium	Sordariomycetes
Fusarium_chuoi_KAI1018634.1	KAI1018634.1	GCA_022627125.1	NotLichen	crm_split	Fusarium_chuoi	Fusarium	Sordariomycetes
Fusarium_chuoi_KAI1016346.1	KAI1016346.1	GCA_022627125.1	NotLichen	crm_split	Fusarium_chuoi	Fusarium	Sordariomycetes
Fusarium_bulbicola_KAF5980293.1	KAF5980293.1	GCA_013758895.1	NotLichen	crm_split	Fusarium_bulbicola	Fusarium	Sordariomycetes
Fusarium_bulbicola_KAF5979540.1	KAF5979540.1	GCA_013758895.1	NotLichen	crm_split	Fusarium_bulbicola	Fusarium	Sordariomycetes
Fusarium_bulbicola_KAF5977410.1	KAF5977410.1	GCA_013758895.1	NotLichen	crm_split	Fusarium_bulbicola	Fusarium	Sordariomycetes
Fusarium_beomiforme_KAF4345084.1	KAF4345084.1	GCA_002980475.2	NotLichen	crm_split	Fusarium_beomiforme	Fusarium	Sordariomycetes
Fusarium_austroamericanum_KAF5238438.1	KAF5238438.1	GCA_013364965.1	NotLichen	crm_split	Fusarium_austroamericanum	Fusarium	Sordariomycetes
Fusarium_austroamericanum_KAF5236166.1	KAF5236166.1	GCA_013364965.1	NotLichen	crm_split	Fusarium_austroamericanum	Fusarium	Sordariomycetes
Fusarium_austroafricanum_KAF4454196.1	KAF4454196.1	GCA_012932025.1	NotLichen	crm_split	Fusarium_austroafricanum	Fusarium	Sordariomycetes
Fusarium_anthophilum_KAF5254628.1	KAF5254628.1	GCA_013364935.1	NotLichen	crm_split	Fusarium_anthophilum	Fusarium	Sordariomycetes
Fusarium_anthophilum_KAF5250788.1	KAF5250788.1	GCA_013364935.1	NotLichen	crm_split	Fusarium_anthophilum	Fusarium	Sordariomycetes
Fusarium_anthophilum_KAF5249351.1	KAF5249351.1	GCA_013364935.1	NotLichen	crm_split	Fusarium_anthophilum	Fusarium	Sordariomycetes
Fusarium_annulatum_KAI1066448.1	KAI1066448.1	GCA_022627115.1	NotLichen	crm_split	Fusarium_annulatum	Fusarium	Sordariomycetes
Fusarium_annulatum_KAI1064557.1	KAI1064557.1	GCA_022627115.1	NotLichen	crm_split	Fusarium_annulatum	Fusarium	Sordariomycetes
Fusarium_albosuccineum_KAF4467009.1	KAF4467009.1	GCA_012931995.1	NotLichen	crm_split	Fusarium_albosuccineum	Fusarium	Sordariomycetes
Fusarium_albosuccineum_KAF4463403.1	KAF4463403.1	GCA_012931995.1	NotLichen	crm_split	Fusarium_albosuccineum	Fusarium	Sordariomycetes
Fusarium_albosuccineum_KAF4446553.1	KAF4446553.1	GCA_012931995.1	NotLichen	crm_split	Fusarium_albosuccineum	Fusarium	Sordariomycetes
Fusarium_agapanthi_KAF4500681.1	KAF4500681.1	GCA_001654555.2	NotLichen	crm_split	Fusarium_agapanthi	Fusarium	Sordariomycetes
Fonsecaea_pedrosoi_KIW83142.1	KIW83142.1	GCA_000835455.1	NotLichen	crm_split	Fonsecaea_pedrosoi	Fonsecaea	Eurotiomycetes
Fonsecaea_nubica_XP_022496746.1	XP_022496746.1	GCF_001646965.1	NotLichen	crm_split	Fonsecaea_nubica	Fonsecaea	Eurotiomycetes
Fonsecaea_monophora_XP_022517428.1	XP_022517428.1	GCF_001642475.1	NotLichen	crm_split	Fonsecaea_monophora	Fonsecaea	Eurotiomycetes
Exserohilum_turcicum_XP_008022453.1	XP_008022453.1	GCF_000359705.1	NotLichen	crm_split	Exserohilum_turcicum	Exserohilum	Dothideomycetes
Exophiala_oligosperma_XP_016263411.1	XP_016263411.1	GCF_000835515.1	NotLichen	crm_split	Exophiala_oligosperma	Exophiala	Eurotiomycetes
Exophiala_oligosperma_XP_016263410.1	XP_016263410.1	GCF_000835515.1	NotLichen	crm_split	Exophiala_oligosperma	Exophiala	Eurotiomycetes
Exophiala_oligosperma_XP_016263409.1	XP_016263409.1	GCF_000835515.1	NotLichen	crm_split	Exophiala_oligosperma	Exophiala	Eurotiomycetes
Exophiala_aquamarina_XP_013253685.1	XP_013253685.1	GCF_000709125.1	NotLichen	crm_split	Exophiala_aquamarina	Exophiala	Eurotiomycetes
Eutypa_lata_KAI1249352.1	KAI1249352.1	GCA_022712995.1	NotLichen	crm_split	Eutypa_lata	Eutypa	Sordariomycetes
Epichloe_festucae_QPG98315.1	QPG98315.1	GCA_003814445.1	NotLichen	crm_split	Epichloe_festucae	Epichloe	Sordariomycetes
Dactylonectria_macrodidyma_KAH7166366.1	KAH7166366.1	GCA_020744425.1	NotLichen	crm_split	Dactylonectria_macrodidyma	Dactylonectria	Sordariomycetes
Dactylonectria_macrodidyma_KAH7123085.1	KAH7123085.1	GCA_020744425.1	NotLichen	crm_split	Dactylonectria_macrodidyma	Dactylonectria	Sordariomycetes
Dactylonectria_estremocensis_KAH7140155.1	KAH7140155.1	GCA_020744375.1	NotLichen	crm_split	Dactylonectria_estremocensis	Dactylonectria	Sordariomycetes
Dactylonectria_estremocensis_KAH7129550.1	KAH7129550.1	GCA_020744375.1	NotLichen	crm_split	Dactylonectria_estremocensis	Dactylonectria	Sordariomycetes
Cylindrodendrum_hubeiense_KAF7552327.1	KAF7552327.1	GCA_014621425.1	NotLichen	crm_split	Cylindrodendrum_hubeiense	Cylindrodendrum	Sordariomycetes
Cylindrodendrum_hubeiense_KAF7551255.1	KAF7551255.1	GCA_014621425.1	NotLichen	crm_split	Cylindrodendrum_hubeiense	Cylindrodendrum	Sordariomycetes
